id,date,deep_sleep_time,shallow_sleep_time,sleep_time,wake_time,bed_time
5,2019-08-08,0,0,0,0,0
5,2019-08-09,0,0,0,0,0
5,2019-08-10,0,0,0,0,0
5,2019-08-11,0,0,0,0,0
5,2019-08-12,0,0,0,0,0
5,2019-08-13,0,0,0,0,0
5,2019-08-14,82,332,414,0,414
5,2019-08-15,60,435,495,0,495
5,2019-08-16,112,275,387,0,387
5,2019-08-17,107,426,533,0,533
5,2019-08-18,119,468,587,0,587
5,2019-08-19,176,249,425,0,425
5,2019-08-20,0,0,0,0,0
5,2019-08-21,133,309,442,0,442
5,2019-08-22,0,0,0,0,0
5,2019-08-23,0,0,0,0,0
5,2019-08-24,0,0,0,0,0
5,2019-08-25,0,0,0,0,0
5,2019-08-26,0,0,0,0,0
5,2019-08-27,0,0,0,0,0
5,2019-08-28,0,0,0,0,0
5,2019-08-29,0,0,0,0,0
5,2019-08-30,0,0,0,0,0
5,2019-08-31,0,0,0,0,0
5,2019-09-01,0,0,0,0,0
5,2019-09-02,0,0,0,0,0
5,2019-09-03,0,0,0,0,0
5,2019-09-04,0,0,0,0,0
5,2019-09-05,0,0,0,0,0
5,2019-09-06,0,0,0,0,0
5,2019-09-07,0,0,0,0,0
5,2019-09-08,0,0,0,0,0
5,2019-09-09,0,0,0,0,0
5,2019-09-10,0,0,0,0,0
5,2019-09-11,0,0,0,0,0
5,2019-09-12,0,0,0,0,0
5,2019-09-13,0,0,0,0,0
5,2019-09-14,0,0,0,0,0
5,2019-09-15,0,0,0,0,0
5,2019-09-16,0,0,0,0,0
5,2019-09-17,0,0,0,0,0
5,2019-09-18,0,0,0,0,0
5,2019-09-19,0,0,0,0,0
5,2019-09-20,0,0,0,0,0
5,2019-09-21,0,0,0,0,0
5,2019-09-22,0,0,0,0,0
5,2019-09-23,364,409,773,0,773
5,2019-09-24,0,0,0,0,0
5,2019-09-25,0,0,0,0,0
5,2019-09-26,82,94,176,0,176
5,2019-09-27,0,0,0,0,0
5,2019-09-28,0,0,0,0,0
5,2019-09-29,0,0,0,0,0
5,2019-09-30,0,0,0,0,0
5,2019-10-01,0,0,0,0,0
5,2019-10-02,0,0,0,0,0
5,2019-10-03,0,0,0,0,0
5,2019-10-04,0,0,0,0,0
5,2019-10-05,0,0,0,0,0
5,2019-10-06,0,0,0,0,0
5,2019-10-07,0,0,0,0,0
5,2019-10-08,0,0,0,0,0
5,2019-10-09,0,0,0,0,0
5,2019-10-10,0,0,0,0,0
5,2019-10-11,0,0,0,0,0
5,2019-10-12,0,0,0,0,0
5,2019-10-13,0,0,0,0,0
5,2019-10-14,0,0,0,0,0
5,2019-10-15,0,0,0,0,0
5,2019-10-16,0,0,0,0,0
5,2019-10-17,0,0,0,0,0
5,2019-10-18,0,0,0,0,0
5,2019-10-19,0,0,0,0,0
5,2019-10-20,0,0,0,0,0
5,2019-10-21,0,0,0,0,0
5,2019-10-22,0,0,0,0,0
5,2019-10-23,0,0,0,0,0
5,2019-10-24,0,0,0,0,0
5,2019-10-25,0,0,0,0,0
5,2019-10-26,12,65,77,0,77
5,2019-10-27,56,64,120,0,120
5,2019-10-28,0,0,0,0,0
5,2019-10-29,0,0,0,0,0
5,2019-10-30,0,0,0,0,0
5,2019-10-31,0,0,0,0,0
5,2019-11-01,0,0,0,0,0
5,2019-11-02,0,0,0,0,0
5,2019-11-03,0,0,0,0,0
5,2019-11-04,0,0,0,0,0
5,2019-11-05,0,0,0,0,0
5,2019-11-06,0,0,0,0,0
5,2019-11-07,0,0,0,0,0
5,2019-11-08,0,0,0,0,0
5,2019-11-09,0,0,0,0,0
5,2019-11-10,53,878,931,0,931
5,2019-11-11,32,620,652,0,652
5,2019-11-12,0,0,0,0,0
5,2019-11-13,0,0,0,0,0
5,2019-11-14,0,0,0,0,0
5,2019-11-15,0,0,0,0,0
5,2019-11-16,742,261,1003,0,1003
5,2019-11-17,0,0,0,0,0
5,2019-11-18,827,254,1081,0,1081
