id,date,sleep_time,bed_time,wake_time
1503960366,2016-04-12,327,346,19
1503960366,2016-04-13,384,407,23
1503960366,2016-04-15,412,442,30
1503960366,2016-04-16,340,367,27
1503960366,2016-04-17,700,712,12
1503960366,2016-04-19,304,320,16
1503960366,2016-04-20,360,377,17
1503960366,2016-04-21,325,364,39
1503960366,2016-04-23,361,384,23
1503960366,2016-04-24,430,449,19
1503960366,2016-04-25,277,323,46
1503960366,2016-04-26,245,274,29
1503960366,2016-04-28,366,393,27
1503960366,2016-04-29,341,354,13
1503960366,2016-04-30,404,425,21
1503960366,2016-05-01,369,396,27
1503960366,2016-05-02,277,309,32
1503960366,2016-05-03,273,296,23
1503960366,2016-05-05,247,264,17
1503960366,2016-05-06,334,367,33
1503960366,2016-05-07,331,349,18
1503960366,2016-05-08,594,611,17
1503960366,2016-05-09,338,342,4
1503960366,2016-05-10,383,403,20
1503960366,2016-05-11,285,306,21
1644430081,2016-04-29,119,127,8
1644430081,2016-04-30,124,142,18
1644430081,2016-05-02,796,961,165
1644430081,2016-05-08,137,154,17
1844505072,2016-04-15,644,961,317
1844505072,2016-04-30,722,961,239
1844505072,2016-05-01,590,961,371
1927972279,2016-04-12,750,775,25
1927972279,2016-04-13,398,422,24
1927972279,2016-04-15,475,499,24
1927972279,2016-04-26,296,315,19
1927972279,2016-04-28,166,178,12
2026352035,2016-04-12,503,546,43
2026352035,2016-04-13,531,565,34
2026352035,2016-04-14,545,568,23
2026352035,2016-04-15,523,573,50
2026352035,2016-04-16,524,567,43
2026352035,2016-04-17,437,498,61
2026352035,2016-04-19,498,540,42
2026352035,2016-04-20,461,510,49
2026352035,2016-04-21,477,514,37
2026352035,2016-04-22,520,545,25
2026352035,2016-04-23,522,554,32
2026352035,2016-04-24,555,591,36
2026352035,2016-04-25,506,531,25
2026352035,2016-04-27,508,545,37
2026352035,2016-04-28,513,545,32
2026352035,2016-04-29,490,510,20
2026352035,2016-04-30,573,607,34
2026352035,2016-05-01,527,546,19
2026352035,2016-05-02,511,543,32
2026352035,2016-05-04,538,560,22
2026352035,2016-05-05,468,485,17
2026352035,2016-05-06,524,548,24
2026352035,2016-05-07,511,521,10
2026352035,2016-05-08,541,568,27
2026352035,2016-05-09,531,556,25
2026352035,2016-05-10,357,380,23
2026352035,2016-05-11,523,553,30
2026352035,2016-05-12,456,485,29
2320127002,2016-04-23,61,69,8
2347167796,2016-04-13,467,531,64
2347167796,2016-04-14,445,489,44
2347167796,2016-04-15,452,504,52
2347167796,2016-04-17,556,602,46
2347167796,2016-04-18,500,557,57
2347167796,2016-04-19,465,514,49
2347167796,2016-04-21,460,484,24
2347167796,2016-04-22,405,461,56
2347167796,2016-04-23,374,386,12
2347167796,2016-04-24,442,459,17
2347167796,2016-04-25,433,471,38
2347167796,2016-04-26,436,490,54
2347167796,2016-04-27,448,499,51
2347167796,2016-04-28,408,450,42
2347167796,2016-04-29,411,473,62
3977333714,2016-04-12,274,469,195
3977333714,2016-04-13,295,456,161
3977333714,2016-04-14,291,397,106
3977333714,2016-04-15,424,556,132
3977333714,2016-04-16,283,510,227
3977333714,2016-04-17,381,566,185
3977333714,2016-04-18,412,522,110
3977333714,2016-04-19,219,395,176
3977333714,2016-04-20,152,305,153
3977333714,2016-04-21,332,512,180
3977333714,2016-04-22,355,476,121
3977333714,2016-04-23,235,372,137
3977333714,2016-04-24,310,526,216
3977333714,2016-04-25,262,467,205
3977333714,2016-04-26,250,371,121
3977333714,2016-04-27,349,540,191
3977333714,2016-04-28,261,423,162
3977333714,2016-04-29,333,478,145
3977333714,2016-04-30,237,382,145
3977333714,2016-05-01,383,626,243
3977333714,2016-05-02,230,384,154
3977333714,2016-05-03,292,500,208
3977333714,2016-05-04,213,336,123
3977333714,2016-05-05,318,480,162
3977333714,2016-05-06,323,512,189
3977333714,2016-05-07,237,443,206
3977333714,2016-05-08,259,456,197
3977333714,2016-05-10,312,452,140
4020332650,2016-04-12,501,541,40
4020332650,2016-04-16,77,77,0
4020332650,2016-05-03,322,332,10
4020332650,2016-05-04,478,536,58
4020332650,2016-05-05,226,248,22
4020332650,2016-05-06,385,408,23
4020332650,2016-05-08,364,402,38
4020332650,2016-05-10,442,494,52
4319703577,2016-04-14,535,557,22
4319703577,2016-04-15,465,491,26
4319703577,2016-04-16,506,522,16
4319703577,2016-04-18,515,551,36
4319703577,2016-04-19,461,498,37
4319703577,2016-04-20,523,543,20
4319703577,2016-04-21,59,65,6
4319703577,2016-04-22,533,550,17
4319703577,2016-04-23,692,722,30
4319703577,2016-04-24,467,501,34
4319703577,2016-04-25,488,506,18
4319703577,2016-04-26,505,516,11
4319703577,2016-04-27,286,307,21
4319703577,2016-04-28,497,522,25
4319703577,2016-04-29,523,546,23
4319703577,2016-04-30,490,516,26
4319703577,2016-05-01,484,500,16
4319703577,2016-05-02,478,506,28
4319703577,2016-05-03,474,512,38
